team_id,slug,rawscore,league_slug,league_balance_factor,ranking_raw_balanced,league_weight,rank
99566404853854212,bilibili-gaming,2.10677455533024,lpl,1,0.7590454007583713,1.5,1.138568101137557
99566404852189289,jd-gaming,1.8901425527557327,lpl,1,0.7406483451306501,1.5,1.1109725176959753
99566404579461230,kt-rolster,1.8728251282981976,lck,1,0.7391776962085707,1.5,1.108766544312856
98926509885559666,team-liquid,2.043614774660146,lcs,1,0.7536816780183633,1.4,1.0551543492257085
100205573495116443,geng,1.187525012732914,lck,1,0.6809799036483408,1.5,1.0214698554725112
103461966951059521,evil-geniuses,1.6342710783299605,lcs,1,0.7189189529235177,1.4,1.0064865340929248
99566404850008779,lng-esports,1.0119882520283352,lpl,1,0.6660727822950153,1.5,0.999109173442523
100725845018863243,dwg-kia,0.9306074821142327,lck,1,0.6591616771335256,1.5,0.9887425157002884
106972778172351142,nrg-esports,1.2198378414312236,lcs,1,0.683724008397349,1.4,0.9572136117562886
98767991954244555,gam-esports,1.7599616309024984,vcs,1,0.7295929810452894,1.3,0.9484708753588762
99294153824386385,golden-guardians,1.1249220386686072,lcs,1,0.6756634666370285,1.4,0.9459288532918398
104367068120825486,psg-talon,3.4609001648066657,pcs,0.8313472662878283,0.7266323528002369,1.3,0.9446220586403079
99566404854685458,top-esports,0.48728107126815157,lpl,1,0.6215130354524875,1.5,0.9322695531787313
98767991935149427,rainbow7,3.1434470456591037,lla,1,0.8470828155708436,1.1,0.9317910971279281
98767991892579754,royal-never-give-up,0.42781804568120246,lpl,1,0.6164632525186872,1.5,0.9246948787780307
107581284487120142,six-karma,2.9686993064343525,lla,1,0.83224270034719094,1.1,0.9154669703819102
98767991926151025,g2-esports,3.786847660119628,lec,0.7157853551872768,0.6454396695320151,1.4,0.9036155373448211
98767991877340524,cloud9,0.6989193905061635,lcs,1,0.6394860121397155,1.4,0.8952804169956016
100205573496804586,hanwha-life-esports,0.1166014761426375,lck,1,0.5900337846929427,1.5,0.885050677039414
98767991853197861,t1,0.09000564089026736,lck,1,0.5877751846025184,1.5,0.8816627769037777
99566404853058754,weibo-gaming,0.0770675659179973,lpl,1,0.5866764435017033,1.5,0.880014665252555
108573042084687884,team-whales,1.0908304113993617,vcs,1,0.6727683008450023,1.3,0.874598791098503
99566404845279652,lpl12,-0.0301209138434185,lpl,1,0.5775736682820383,1.5,0.8663605024230574
106269804045322803,mega-bank-beyond-gaming,2.393763627015423,pcs,0.8313472662878283,0.6512919096842303,1.3,0.8466794825894994
98767991882270868,edward-gaming,-0.2403761318532067,lpl,1,0.5597181488030344,1.5,0.8395772232045515
98767991887166787,lpl14,-0.26738515140988167,lpl,1,0.5574244598312793,1.5,0.8361366897469189
99566408221961358,red-kalunga,2.032866285566359,cblol-brazil,1,0.7527688832815638,1.1,0.8280457716097203
99566408217955692,pain-gaming,1.9896573826319868,cblol-brazil,1,0.7490994504117685,1.1,0.8240093954529454
104841890701948065,estral-esports,1.974322003350098,lla,1,0.747797122859199,1.1,0.8225768351451189
105397404796640412,loud,1.9081473001240188,cblol-brazil,1,0.7421773636272756,1.1,0.8163950999900033
99566408562477641,infinity,1.7951254434955186,lla,1,0.7325792001111178,1.1,0.8058371201222296
99566408217116828,intz,1.7600910226222533,cblol-brazil,1,0.7296039693879064,1.1,0.8025643663266971
109480056092207899,fluxo,1.753183579829458,cblol-brazil,1,0.7290173681111138,1.1,0.8019191049222253
99566404848691211,invictus-gaming,-0.6331631127984712,lpl,1,0.5263614708772538,1.5,0.7895422063158808
98767991866488695,fnatic,2.3897807981713814,lec,0.7157853551872768,0.5605165953366693,1.4,0.784723233471337
100725845022060229,liiv-sandbox,-0.6814922338706837,lck,1,0.5222572133426424,1.5,0.7833858200139636
107251245690956393,saigon-buffalo-esports,0.19114789876723995,vcs,1,0.5963644960724893,1.3,0.7752738448942361
107565493716773932,nativz,3.1819765037850978,nlc,1,0.8503548556019838,0.9,0.7653193700417854
99566408219409348,vivo-keyd,1.3392904888097632,cblol-brazil,1,0.6938682944335072,1.1,0.7632551238768579
98767991860392497,tsm,-0.46683402724090617,lcs,1,0.540486648150903,1.4,0.7566813074112642
101388912911039804,lpl15,-0.9160533718306079,lpl,1,0.5023375604203271,1.5,0.7535063406304906
98926509883054987,dignitas,-0.6063661456223545,lcs,1,0.5286371517089614,1.4,0.740092012392546
107251374793416561,cerberus-esports,-0.13410164420233237,vcs,1,0.568743305002882,1.3,0.7393662965037465
99566404585387054,drx,-1.0284982684392925,lck,1,0.4927883941227397,1.5,0.7391825911841096
107597875833524424,diamant-esports,2.8304963207271965,esports_balkan_league,1,0.8205060779379639,0.9,0.7384554701441676
99566406490127625,taipei-j-team,1.1908968581557045,pcs,0.8313472662878283,0.5663688354888843,1.3,0.7362794861355496
105553606349477427,zero-tenacity,2.7221876141006676,ultraliga,1,0.8113081696091172,0.9,0.7301773526482055
107251295460371069,team-secret,-0.23760416443679166,vcs,1,0.5599535527976057,1.3,0.7279396186368875
108404211655217274,partizan-esports,2.6247679196160365,esports_balkan_league,1,0.8030349896663109,0.9,0.7227314906996799
109637393694097670,team-heretics-lec,1.5409095168615725,lec,0.7157853551872768,0.508916517510443,1.4,0.7124831245146201
107450819235010833,bkrog-gamerorigin,2.4779057579146957,lfl,1,0.7905630034116591,0.9,0.7115067030704932
108203154514683518,t1-rookies,2.4749347729656397,lck_academy,1,0.7903106982363972,0.9,0.7112796284127575
105559480124455983,sk-gaming-prime,2.440005406174384,primeleague,1,0.787344389028787,0.9,0.7086099501259083
