tournament,team,league,rank
LCS Amateur Circuit Summer 2022,taco-gaming,NA,0.7042527633891131
LCS Amateur Circuit Summer 2022,aoe-ginger-turmeric,NA,0.5705132180258647
LCS Amateur Circuit Summer 2022,team-pending,NA,0.5066045365541171
LCS Amateur Circuit Summer 2022,the-last-dance,NA,0.4860529723916728
LCS Amateur Circuit Summer 2022,cincinnati-fear,north_american_challenger_league,0.4633179504641622
LCS Amateur Circuit Summer 2022,aoe-randoms,NA,0.22352468929023628
LCS Amateur Circuit Summer 2022,dk-crew,NA,0
LCS Proving Grounds Spring 2021,100-academy,NA,1
LCS Proving Grounds Spring 2021,dig-academy,NA,0.8071595698277597
LCS Proving Grounds Spring 2021,tsm-academy,NA,0.6778164934782132
LCS Proving Grounds Spring 2021,clg-academy,NA,0.5335430701990619
LCS Proving Grounds Spring 2021,imt-academy,NA,0.5029061664022776
LCS Proving Grounds Spring 2021,c9-academy,NA,0.4792344886322842
LCS Proving Grounds Spring 2021,tl-academy,north_american_challenger_league,0.4482559479014691
LCS Proving Grounds Spring 2021,fly-academy,north_american_challenger_league,0.3362467538531168
LCS Proving Grounds Spring 2021,gg-academy,NA,0.1826300465807617
LCS Proving Grounds Spring 2021,dignitas-mirage,NA,0.013033318259577856
LCS Proving Grounds Spring 2021,eg-academy,north_american_challenger_league,0
LCS Proving Grounds Spring 2022,c9-academy,NA,1
LCS Proving Grounds Spring 2022,eg-academy,north_american_challenger_league,0.7371499890204009
LCS Proving Grounds Spring 2022,fly-academy,north_american_challenger_league,0.6511150323056863
LCS Proving Grounds Spring 2022,clg-academy,NA,0.5596879506116185
LCS Proving Grounds Spring 2022,dig-academy,NA,0.4863954133589496
LCS Proving Grounds Spring 2022,gg-academy,NA,0.47389921021917636
LCS Proving Grounds Spring 2022,100-academy,NA,0.4139571720137657
LCS Proving Grounds Spring 2022,tl-academy,north_american_challenger_league,0.3536639316535189
LCS Proving Grounds Spring 2022,maryville-saints,NA,0.11757466176258446
LCS Proving Grounds Spring 2022,imt-academy,NA,0.059656145677159746
LCS Proving Grounds Spring 2022,tsm-academy,NA,0
LCS Proving Grounds Summer 2021,c9-academy,NA,1
LCS Proving Grounds Summer 2021,eg-academy,north_american_challenger_league,0.9898397828345378
LCS Proving Grounds Summer 2021,supernova,north_american_challenger_league,0.9280440536677638
LCS Proving Grounds Summer 2021,fly-academy,north_american_challenger_league,0.9184462583146349
