tournament,team,league,rank
european_masters_spring_2021_main_event,illuminar-gaming,ultraliga,0.3783390686908579
european_masters_spring_2021_main_event,schalke-04-evolution,NA,0.35443274599550195
european_masters_spring_2021_main_event,macko-esports,pg_nationals,0.33500409201838727
european_masters_spring_2021_main_event,g2-arctic,NA,0.2674261400046806
european_masters_spring_2021_main_event,berlin-international-gaming,primeleague,0.19453903239556922
european_masters_spring_2021_main_event,mkers,NA,0.1809980268919884
european_masters_spring_2021_main_event,k1ck-neosurf,NA,0.08085605460936193
european_masters_spring_2021_main_event,herbalife-real-betis,NA,0
european_masters_spring_2021_play_ins,method2madness,NA,1
european_masters_spring_2021_play_ins,esuba,hitpoint_masters,0.9831184045450684
european_masters_spring_2021_play_ins,kv-mechelen-esports,NA,0.8317808762187663
european_masters_spring_2021_play_ins,psv-esports,NA,0.649447743003723
european_masters_spring_2021_play_ins,white-dragons,liga_portuguesa,0.6317993832930435
european_masters_spring_2021_play_ins,goskilla,NA,0.5680957306434695
european_masters_spring_2021_play_ins,g2-arctic,NA,0.4942450568646769
european_masters_spring_2021_play_ins,for-the-win-esports,liga_portuguesa,0.4756077093059016
european_masters_spring_2021_play_ins,hma-fnatic-rising,NA,0.44860878480450844
european_masters_spring_2021_play_ins,sinners-esports,hitpoint_masters,0.3000368716871572
european_masters_spring_2021_play_ins,schalke-04-evolution,NA,0.27076471207051467
european_masters_spring_2021_play_ins,gamespace-mediterranean-college-esports,greek_legends,0.26771707501889846
european_masters_spring_2021_play_ins,zero-tenacity,ultraliga,0.21262111250708016
european_masters_spring_2021_play_ins,illuminar-gaming,ultraliga,0.2054386411157925
european_masters_spring_2021_play_ins,mkers,NA,0.15481029589418938
european_masters_spring_2021_play_ins,vitalitybee,lfl,0
european_masters_summer_2021_main_event,movistar-riders,superliga,1
european_masters_summer_2021_main_event,hma-fnatic-rising,NA,0.9675213103288929
european_masters_summer_2021_main_event,berlin-international-gaming,primeleague,0.8410121920564062
european_masters_summer_2021_main_event,illuminar-gaming,ultraliga,0.690357088883501
european_masters_summer_2021_main_event,macko-esports,pg_nationals,0.6658282145097335
european_masters_summer_2021_main_event,karmine-corp,lfl,0.6047196054522469
european_masters_summer_2021_main_event,pdw,NA,0.5853169855720413
european_masters_summer_2021_main_event,ucam-esports-club,superliga,0.5584310121095151
european_masters_summer_2021_main_event,mousesports,primeleague,0.5022263216430318
european_masters_summer_2021_main_event,ago-rogue,NA,0.4455655046870946
european_masters_summer_2021_main_event,misfits-premier,NA,0.4427172124584941
european_masters_summer_2021_main_event,zero-tenacity,ultraliga,0.4304629203413401
european_masters_summer_2021_main_event,anorthosis-famagusta-esports,greek_legends,0.39858509762771654
european_masters_summer_2021_main_event,tricked-esport,NA,0.23344295615700364
european_masters_summer_2021_main_event,penta-1860,NA,0.11538661818711717
european_masters_summer_2021_main_event,giants,superliga,0
msi_2021,royal-never-give-up,lpl,1.5
msi_2021,mad-lions,lec,1.256749180233486
msi_2021,cloud9,lcs,1.2137753706122913
msi_2021,dwg-kia,lck,1.0574570642017191
msi_2021,pain-gaming,cblol-brazil,0.8279425435723597
msi_2021,detonation-focusme,ljl-japan,0.8123117436237562
msi_2021,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.7151381459404597
msi_2021,unicorns-of-love,lcl,0.6694049251742381
msi_2021,infinity,lla,0.6223940286674874
msi_2021,psg-talon,pcs,0.0645504583265832
msi_2021,pentanetgg,lco,0
mss 2021 (archive),team-liquid,lcs,1
mss 2021 (archive),dignitas,lcs,0.2992022922672247
mss 2021 (archive),tsm,lcs,0.17955165633480322
mss 2021 (archive),evil-geniuses,lcs,0.08538076749607316
mss 2021 (archive),cloud9,lcs,0.010258269490357574
mss 2021 (archive),100-thieves,lcs,0
opl_split2_2020,the-chiefs,lco,1
opl_split2_2020,dire-wolves,lco,0.7916300520542671
opl_split2_2020,order,NA,0.4785278718625161
opl_split2_2020,legacy-esports,NA,0
worlds_2020,geng,lck,1.356693767453756
worlds_2020,psg-talon,pcs,1.2
worlds_2020,dwg-kia,lck,1.0481433659811015
worlds_2020,g2-esports,lec,1.0257040317917465
worlds_2020,tsm,lcs,0.9789104540992606
worlds_2020,flyquest,lcs,0.9564014760254249
worlds_2020,team-liquid,lcs,0.7920736028753942
worlds_2020,fnatic,lec,0.7601699754593665
worlds_2020,legacy-esports,NA,0.6208417143268736
worlds_2020,rainbow7,lla,0.5830050435886389
worlds_2020,papara-supermassive-blaze,turkiye-sampiyonluk-ligi,0.5659839269255665
worlds_2020,v3-esports,ljl-japan,0.562132734586886
worlds_2020,rogue,lec,0.559591878528928
worlds_2020,intz,cblol-brazil,0.5271208454941025
worlds_2020,drx,lck,0.45794778647777545
worlds_2020,mad-lions,lec,0.4397652744072842
worlds_2020,lgd-gaming,lpl,0
worlds_2021,mad-lions,lec,1.3
worlds_2021,hanwha-life-esports,lck,1.1831167406756653
worlds_2021,dwg-kia,lck,1.069063385014118
worlds_2021,geng,lck,1.007316709676886
worlds_2021,t1,lck,0.9964396566019207
worlds_2021,fnatic,lec,0.9777168132770401
worlds_2021,cloud9,lcs,0.8767408407442004
worlds_2021,infinity,lla,0.7046702630426913
worlds_2021,galatasaray-espor,NA,0.701976176801708
worlds_2021,red-kalunga,cblol-brazil,0.6705440181223453
worlds_2021,100-thieves,lcs,0.6505048604140694
worlds_2021,team-liquid,lcs,0.6178996919711006
worlds_2021,psg-talon,pcs,0.6021410030491762
worlds_2021,mega-bank-beyond-gaming,pcs,0.534371961202136
worlds_2021,detonation-focusme,ljl-japan,0.4859088447805898
worlds_2021,peace,NA,0.4853098093192769
worlds_2021,unicorns-of-love,lcl,0.23861625276118256
worlds_2021,rogue,lec,0
